Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6,3.4,4.5,1.6,Iris-versicolor
2,6.1,2.8,4.7,1.2,Iris-versicolor
3,7.9,3.8,6.4,2,Iris-virginica
4,7.7,3,6.1,2.3,Iris-virginica
5,6,3,4.8,1.8,Iris-virginica
6,6,2.2,5,1.5,Iris-virginica
7,5.5,3.5,1.3,0.2,Iris-setosa
8,5.1,3.7,1.5,0.4,Iris-setosa
9,5.5,2.5,4,1.3,Iris-versicolor
10,7.2,3.2,6,1.8,Iris-virginica
11,5,3.3,1.4,0.2,Iris-setosa
12,5,3,1.6,0.2,Iris-setosa
13,6.4,3.2,5.3,2.3,Iris-virginica
14,5.2,3.4,1.4,0.2,Iris-setosa
15,5.1,3.5,1.4,0.2,Iris-setosa
16,4.6,3.2,1.4,0.2,Iris-setosa
17,5.4,3,4.5,1.5,Iris-versicolor
18,6.4,2.8,5.6,2.2,Iris-virginica
19,6.7,3,5.2,2.3,Iris-virginica
20,6.9,3.2,5.7,2.3,Iris-virginica
21,4.9,3,1.4,0.2,Iris-setosa
22,5.1,3.4,1.5,0.2,Iris-setosa
23,4.4,2.9,1.4,0.2,Iris-setosa
24,5.9,3.2,4.8,1.8,Iris-versicolor
25,6.1,3,4.6,1.4,Iris-versicolor
26,4.6,3.4,1.4,0.3,Iris-setosa
27,4.8,3,1.4,0.3,Iris-setosa
28,5.6,2.7,4.2,1.3,Iris-versicolor
29,6.7,3,5,1.7,Iris-versicolor
30,6.4,3.2,4.5,1.5,Iris-versicolor
31,6.1,2.9,4.7,1.4,Iris-versicolor
32,6.9,3.1,4.9,1.5,Iris-versicolor
33,6.2,3.4,5.4,2.3,Iris-virginica
34,4.9,3.1,1.5,0.1,Iris-setosa
35,5.1,3.8,1.6,0.2,Iris-setosa
36,4.8,3,1.4,0.1,Iris-setosa
37,6.8,2.8,4.8,1.4,Iris-versicolor
38,5.8,4,1.2,0.2,Iris-setosa
39,4.8,3.4,1.9,0.2,Iris-setosa
40,7.7,2.6,6.9,2.3,Iris-virginica
41,5.7,2.8,4.5,1.3,Iris-versicolor
42,4.9,3.1,1.5,0.1,Iris-setosa
43,7.6,3,6.6,2.1,Iris-virginica
44,6.6,3,4.4,1.4,Iris-versicolor
45,7,3.2,4.7,1.4,Iris-versicolor
46,6.6,2.9,4.6,1.3,Iris-versicolor
47,6.4,2.9,4.3,1.3,Iris-versicolor
48,6.5,3,5.8,2.2,Iris-virginica
49,5.1,3.5,1.4,0.3,Iris-setosa
50,6,2.9,4.5,1.5,Iris-versicolor
51,6.3,3.3,6,2.5,Iris-virginica
52,4.3,3,1.1,0.1,Iris-setosa
53,5.1,3.8,1.5,0.3,Iris-setosa
54,6.9,3.1,5.4,2.1,Iris-virginica
55,5.6,2.5,3.9,1.1,Iris-versicolor
56,4.9,3.1,1.5,0.1,Iris-setosa
57,7.4,2.8,6.1,1.9,Iris-virginica
58,6.5,2.8,4.6,1.5,Iris-versicolor
59,7.2,3.6,6.1,2.5,Iris-virginica
60,6.4,2.7,5.3,1.9,Iris-virginica
61,4.4,3,1.3,0.2,Iris-setosa
62,5,2.3,3.3,1,Iris-versicolor
63,5.5,2.6,4.4,1.2,Iris-versicolor
64,5.4,3.4,1.5,0.4,Iris-setosa
65,6.2,2.2,4.5,1.5,Iris-versicolor
66,5.8,2.6,4,1.2,Iris-versicolor
67,4.7,3.2,1.3,0.2,Iris-setosa
68,5.7,3.8,1.7,0.3,Iris-setosa
69,5.8,2.8,5.1,2.4,Iris-virginica
70,6.3,2.8,5.1,1.5,Iris-virginica
71,5.1,3.3,1.7,0.5,Iris-setosa
72,5,3.4,1.6,0.4,Iris-setosa
73,5.4,3.9,1.3,0.4,Iris-setosa
